Identificador,Nombre,Categoría,Normativa
2472,Marmaronetta angustirostris,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15078,Melanitta fusca,-,-
2480,Melanitta nigra,-,-
16212,Melanitta perspicillata,-,-
2482,Mergus serrator,-,-
15032,Milvus milvus,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2105,Miniopterus schreibersii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108221,Modiolus lulat,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
112451,Monoplex corrugatus,-,-
112452,Monoplex parthenopeus,-,-
16183,Morus bassanus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2090,Myotis,-,-
2092,Myotis blythii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2097,Myotis capaccinii,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2096,Myotis daubentonii,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2093,Myotis emarginatus,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
110353,Myotis escalerai,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2091,Myotis myotis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
110351,Myotis myotis/M. blythii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
119674,Myotis pequeño,En peligro de extinción (Myotis capaccinii)/Vulnerable (M. emarginatus)/LAESRPE (M. daubentoni)/LAES,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
114056,Naria spurca,-,-
15003,Neophron percnopterus,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2474,Netta rufina,-,-
2550,Numenius arquata,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2551,Numenius phaeopus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2430,Nycticorax nycticorax,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15086,Oceanodroma leucorhoa,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106177,Onychogomphus,-,-
119811,Onychogomphus forcipatus,-,-
106179,Onychogomphus uncatus,-,-
108229,Ophidiaster ophidianus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
105080,Orculella aragonica,-,-
119832,Orculella bulgarica,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
null,Orculella bulgarica/Orculella aragonica,-,-
106187,Orthetrum,-,-
119813,Orthetrum brunneum,-,-
119817,Orthetrum trinacria,-,-
2519,Otis tarda,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
13441,Oxygastra curtisii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2470,Oxyura jamaicensis,-,-
2469,Oxyura leucocephala,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108230,Palinurus elephas,-,-
15028,Pandion haliaetus,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108235,Paramuricea clavata,-,-
105160,Patella ferruginea,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108241,Pentapora fascialis,-,-
2466,Pernis apivorus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
4501,Petromyzon marinus,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108370,Petrosia ficiformis,-,-
2420,Phalacrocorax aristotelis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2419,Phalacrocorax carbo,-,-
15091,Phalaropus fulicarius,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15092,Phalaropus lobatus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15095,Phoeniconaias minor,-,-
15000,Phoenicopterus roseus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108164,Pholas dactylus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108197,Phyllangia mouchezii,-,-
106635,Pinna,-,-
106636,Pinna nobilis,En peligro de extinción,Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden TEC/596/2019)-
108242,Pinna rudis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2444,Platalea leucorodia,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
119775,Platycnemis,-,-
119819,Platycnemis latipes,-,-
2101,Plecotus austriacus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2446,Plegadis falcinellus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2537,Pluvialis apricaria,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2538,Pluvialis squatarola,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15104,Podiceps auritus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2404,Podiceps cristatus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16157,Podiceps grisegena,-,-
