Identificador,"Nombre","Categoría","Normativa"
11661,"Carex furva","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
13110,"Carex helodes","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11666,"Carex hirta","-","-"
11672,"Carex laevigata","-","-"
11680,"Carex nevadensis","-","-"
106347,"Carex oedipostyla","-","-"
11685,"Carex panicea","-","-"
11693,"Carex pseudocyperus","-","-"
106348,"Carex punctata","-","-"
11694,"Carex remota","-","-"
107841,"Carex trinervis","-","-"
11284,"Carlina baetica","-","-"
106350,"Caropsis verticillatoinundata (= Thorella verticillatoinundata)","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
105798,"Carum foetidum","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11843,"Castellia tuberculosa","-","-"
105877,"Castrilanthemum debeauxii","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
119654,"Caulerpa cylindracea","-","-"
6086,"Celtis australis","-","-"
11114,"Centaurea alba subsp. macrocephala","-","-"
11116,"Centaurea alba subsp. tartesiana","-","-"
11117,"Centaurea alpina","-","-"
113820,"Centaurea antennata subsp. meridionalis","-","-"
11121,"Centaurea aspera subsp. scorpiurifolia","-","-"
11130,"Centaurea boissieri subsp. funkii","-","-"
11137,"Centaurea bombycina subsp. bombycina","-","-"
104832,"Centaurea bombycina subsp. xeranthemoides","-","-"
11142,"Centaurea carratracensis","-","-"
11144,"Centaurea citricolor","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11145,"Centaurea clementei","-","-"
11148,"Centaurea cordubensis","-","-"
105796,"Centaurea dracunculifolia","-","-"
11156,"Centaurea exarata","-","-"
11160,"Centaurea gadorensis","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
104926,"Centaurea haenseleri subsp. epapposa","-","-"
106614,"Centaurea haenseleri subsp. haenseleri","-","-"
119835,"Centaurea jacea subsp angustifolia","-","-"
106583,"Centaurea kunkelii","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11172,"Centaurea lainzii","-","-"
11176,"Centaurea mariana","-","-"
11177,"Centaurea maroccana","-","-"
113371,"Centaurea molesworthiae","-","-"
11180,"Centaurea monticola","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
104833,"Centaurea nevadensis","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11196,"Centaurea prolongoi","-","-"
11200,"Centaurea pulvinata","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11203,"Centaurea sagredoi","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
105804,"Centaurea saxifraga","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
113186,"Centaurium quadrifolium subsp. quadrifolium","-","-"
10372,"Centranthus lecoqii","-","-"
10376,"Centranthus nevadensis","-","-"
106659,"Centrostephanus longispinus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
10402,"Cephalaria baetica","-","-"
6007,"Ceratocapnos heterocarpa","-","-"
5816,"Ceratophyllum demersum","-","-"
107024,"Chaenorhinum grandiflorum subsp. grandiflorum","-","-"
119790,"Chalcolestes viridis","-","-"
104453,"Chamaespartium undulatum","-","-"
13038,"Chamaesyce peplis","-","-"
2532,"Charadrius","-","-"
2535,"Charadrius alexandrinus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2534,"Charadrius dubius","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2533,"Charadrius hiaticula","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
16231,"Charadrius morinellus","-","-"
108949,"Charonia lampas","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
104463,"Cheirolophus intybaceus","-","-"
105785,"Cheirolophus sempervirens","-","-"
106351,"Cheirolophus uliginosus","-","-"
2208,"Chersophilus duponti","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
105,"Chiroptera","-","-"
2588,"Chlidonias","-","-"
2590,"Chlidonias hybrida","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
15135,"Chlidonias leucopterus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
5609,"Christella dentata  (=Cyclosorus dentatus)","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2572,"Chroicocephalus genei","-","-"
2574,"Chroicocephalus ridibundus","-","-"
113375,"Cicerbita muralis subsp. gaditana","-","-"
2441,"Ciconia ciconia","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2442,"Ciconia nigra","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2461,"Circus aeruginosus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
15009,"Circus cyaneus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2459,"Circus pygargus","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11051,"Cirsium rosulatum","-","-"
11052,"Cirsium scabrum","-","-"
10156,"Cistanche phelypaea","-","-"
106584,"Cistus ladanifer subsp. mauritanus","-","-"
108116,"Cladocora caespitosa","LAESRPE","Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden TEC/596/2019)-"
15132,"Clangula hyemalis","-","-"
7427,"Clypeola eriocarpa","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
12942,"Cneorum triccocon","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
7452,"Cochlearia glastifolia","-","-"
7453,"Cochlearia megalosperma","-","-"
114059,"Cochlis vittata","-","-"
76780,"Coincya longirostra","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
76800,"Coincya monensis subsp. nevadensis","-","-"
29185,"Comastoma tenellum","-","-"
107256,"Commicarpus africanus","-","-"
105072,"Convolvulus boissieri","-","-"
9333,"Convolvulus valentinus","-","-"
2651,"Coracias garrulus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
119793,"Cordulegaster boltonii","-","-"
7751,"Corema album","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
78130,"Coris hispanica","-","-"
106353,"Cornus sanguinea subsp. sanguinea","-","-"
113187,"Coronilla talaverae","-","-"
7587,"Coronopus navasii (=Lepidium navasii)","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
6148,"Corylus avellana","-","-"
5572,"Cosentinia vellea subsp. bivalens","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
77110,"Cotoneaster granatensis","-","-"
77180,"Crataegus laciniata","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
10820,"Crepis erythia","-","-"
10824,"Crepis granatensis","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
10836,"Crepis tingitana","-","-"
108379,"Cribrinopsis crassa","-","-"
119795,"Crocothemis erythraea","-","-"
106355,"Ctenopsis gypsophila","-","-"
5598,"Culcita macrocarpa","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
101658,"Cygnus atratus","-","-"
15134,"Cygnus olor","-","-"
114057,"Cymbula safiana","-","-"
